Speaker,Start (s),End (s),Duration (s),Text
"SPEAKER_00",0,5.14,5.14,"CNN has decided not to run a Donald Trump endorsed campaign ad after the network decided"
"SPEAKER_00",5.14,6.86,1.72,"it does not meet their standards."
"SPEAKER_00",8.14,13.58,5.44,"The 32nd advertisement paid for by Trump's campaign targeted Joe Biden's conduct toward"
"SPEAKER_00",13.58,18.5,4.92,"Ukraine while he served as vice president, while also referring to CNN personalities Don"
"SPEAKER_00",18.5,22.28,3.78,"Lemon, Chris Cuomo, and Jim Acosta as media lap dogs."
"SPEAKER_00",22.8,27.38,4.58,"A CNN spokesperson spoke to THR saying the ad does not meet the network's advertising"
"SPEAKER_00",27.38,32.64,5.26,"standards, adding, in addition to disparaging CNN and its journalists, the ad makes assertions"
"SPEAKER_00",32.64,36.74,4.1,"that have been proven demonstrably false by various news outlets, including CNN."
"SPEAKER_00",37.04,41.42,4.38,"However, despite CNN's rejection, the president posted the advertisement onto his Twitter page"
"SPEAKER_00",41.42,46.6,5.18,"last week, along with the caption, I'm draining the swamp. Now, this is not the first time CNN has"
"SPEAKER_00",46.6,52.3,5.7,"rejected a Trump campaign ad. Back in 2017, the network refused to run a Trump-approved ad called"
"SPEAKER_00",52.3,57.1,4.8,"left President Trump do his job, which criticized the media and specifically called out lemon"
"SPEAKER_00",57.1,58.44,1.34,"as well as Anderson Cooper."
"SPEAKER_00",58.82,63.24,4.42,"To stay up to date on this story, hit the THR.com and until next time for The Hollywood Reporter"
"SPEAKER_00",63.24,64.22,0.98,"News, I'm Aheadjoy."
