Speaker,Start (s),End (s),Duration (s),Text
"SPEAKER_00",0,4.5,4.5,"There's this. I have a little news that I'd like to give you as well and it has to do with this program."
"SPEAKER_00",4.84,12.7,7.86,"I have been absolutely delighted for the last five years to be working with some of the most talented people in television news."
"SPEAKER_00",12.86,19.8,6.94,"Just really stellar, stellar producers, writers, researchers, reporters, just remarkable people here at CNN."
"SPEAKER_00",20.58,24.86,4.28,"And so it is really tough to tell you that I'm going to be leaving."
"SPEAKER_00",25.64,30.36,4.72,"kind of. It's sort of weird, but I'm going to leave this time slot at 12 noon, and I'm"
"SPEAKER_00",30.36,34.66,4.3,"going to make the jump and follow my friends over at HLN. We've already heard that"
"SPEAKER_00",34.66,39.24,4.58,"Michaela Perera has jumped over there, Erica Hills over there, Robin Need. So I'm going"
"SPEAKER_00",39.24,45,5.76,"to jump over to Primetime on HLN 8 PM in the fall. Super excited to do it. We're going"
"SPEAKER_00",45,50.4,5.4,"to bring a really unique brand of social and legal issues oriented programming to that"
"SPEAKER_00",50.4,55.6,5.2,"eight p.m. spot. Lots more news and details about it will follow, but I just wanted to let"
"SPEAKER_00",55.6,60.24,4.64,"you know what a privilege it's been at 12 noon to be with you every day. And if you"
"SPEAKER_00",60.24,64.06,3.82,"will just indulge me for a moment, you see me all the time, but you don't see Christina"
"SPEAKER_00",64.06,73.06,9,"or Sanya or Lindsay or Robin or Chris or Scotty or Gus and Alex and Ariel and Lamy and"
"SPEAKER_00",73.06,79.74,6.68,"Tandu and Dave. This is my family. And every single day it is a delight to get up at 430"
"SPEAKER_00",79.74,84.92,5.18,"in the morning and be with them and I say that honestly. So thank you for being here"
"SPEAKER_00",84.92,89.22,4.3,"at 12 noon every day. Still going to be here for a few more weeks from the 23rd it will"
"SPEAKER_00",89.22,95.04,5.82,"be our last program here but I'll be seeing you over on HLN at 8 p.m. very exciting time"
"SPEAKER_00",95.04,100.98,5.94,"for us all here at CNN and HLN and I will still be doing a lot of stuff on CNN as well."
"SPEAKER_00",101.14,107.44,6.3,"I'll be bringing legal analysis and I'll be guest representing and talking about the"
"SPEAKER_00",107.44,112.06,4.62,"the stories of the day, the justice oriented issues of the day over here on CNN's programming."
"SPEAKER_00",112.22,116.68,4.46,"So I'm not going very far and I'll still be working with all of these extraordinary people"
"SPEAKER_00",116.68,117.88,1.2,"on a pretty regular basis."
"SPEAKER_00",118.3,120.24,1.94,"For now, that's it for today."
"SPEAKER_00",120.5,121.18,0.68,"I've said enough."
