Speaker,Start (s),End (s),Duration (s),Text
"SPEAKER_00",0,4.76,4.76,"And President Trump loves to talk about his TV ratings, if not his current approval rating."
"SPEAKER_00",4.96,9.42,4.46,"So he must be pleased to know that 33 million people watched the prime time roll out of his"
"SPEAKER_00",9.42,11.28,1.86,"Supreme Court pick, Neil Gorsuch."
"SPEAKER_00",11.76,13.32,1.56,"But what do Americans think of the choice?"
"SPEAKER_00",13.54,19.18,5.64,"Well, a brand new CNN poll shows that a plurality, 39%, were left with a positive first impression"
"SPEAKER_00",19.18,24.18,5,"that compares with 45% for President Obama's never confirmed pick, Judge Marik Garland,"
"SPEAKER_00",24.24,27.62,3.38,"and 54% for now chief justice, John Roberts."
"SPEAKER_00",27.62,32.14,4.52,"But when it comes to confirming the new nominee, opinions are sharply divided along party"
"SPEAKER_00",32.46,36.78,4.32,"Just 22 percent of Democrats think the Senate should vote to confirm him while an overwhelming"
"SPEAKER_00",36.78,38.78,2,"84 percent of Republicans do."
