Speaker,Start,End,Duration,Text
"Unknown",0,4.72,4.72,"CNN has decided not to run a Donald Trump-endorse campaign ad after the network"
"Unknown",4.72,8.72,4,"decided it does not meet their standards."
"Unknown",8.72,13.36,4.64,"The 32nd advertisement paid for by Trump's campaign targeted Joe Biden's conduct"
"Unknown",13.36,18.32,4.96,"toward Ukraine while he served as vice president, while also referring to CNN personalities,"
"Unknown",18.32,22.84,4.52,"Don Lemon, Chris Cuomo, and Jim Acosta as media lapdogs."
"Unknown",22.84,48,25.16,"A CNN spokesperson spoke to THR, saying the ad does not meet the network's advertising standards, adding, in addition to disparaging CNN and its journalists, the ad makes assertions that have been proven demonstrably false by various news outlets, including CNN. However, despite CNN's rejection, the president posted the advertisement onto his Twitter page last week, along with the caption, I am draining the swamp. the swamp. Now this is not the first time CNN has rejected a Trump campaign ad."
"Unknown",48,52,4,"Back in 2017, the network refused to run a Trump-approved ad called,"
"Unknown",52,54,2,"Let President Trump do his job,"
"Unknown",54,57,3,"which criticized the media and specifically called out Lemon,"
"Unknown",57,58,1,"as well as Anderson Cooper."
"Unknown",58,61,3,"To stay up to date on this story, hit to THR.com,"
"Unknown",61,64,3,"for the Hollywood reporter news, I may enjoy."
