Speaker,Start,End,Duration,Text
"Unknown",0,7.36,7.36,"Thirdly, acts are despicable and have no place in American society."
"Unknown",7.36,12.4,5.04,"I want to assure you we've deployed the full resources of the FBI, the United States"
"Unknown",12.4,16.8,4.4,"Secret Service, and they're working very closely with law enforcement officials."
"Unknown",16.8,25,8.2,"We'll continue to monitor these investigations, and those responsible will be brought to justice."
"Unknown",25,30,5,"Thank you."
"Unknown",30,32,2,"Hey."
"Unknown",32,34,2,"Hey there, I'm Chris Hayes from MS NBC."
"Unknown",34,36,2,"Thanks for watching MS NBC on YouTube."
"Unknown",36,38,2,"If you want to keep up to date with the videos we're putting out,"
"Unknown",38,40,2,"you can click subscribe just below me,"
"Unknown",40,43,3,"or click over on this list to see lots of other great videos."
