Speaker,Start,End,Duration,Text
"Unknown",0,4.52,4.52,"And President Trump loves to talk about his TV ratings, if not his current approval"
"Unknown",5.52,9.16,3.64,"So he must be pleased to know that 33 million people watched the prime time rollout"
"Unknown",9.16,11.84,2.68,"of his Supreme Court pick, Neil Gorsuch."
"Unknown",11.84,13.6,1.76,"But what do Americans think of the choice?"
"Unknown",13.6,18.4,4.8,"Well, a brand new CNN poll shows that a plurality, 39 percent, were left with a positive"
"Unknown",18.4,24.32,5.92,"first impression that compares with 45 percent for President Obama's never confirmed pick, Judge Merrick Garland,"
"Unknown",24.32,27.8,3.48,"and 54 percent, for now Chief Justice John Roberts."
"Unknown",27.8,29.96,2.16,"But when it comes to confirming the new nominee,"
"Unknown",29.96,32.52,2.56,"opinions are sharply divided along party lines."
"Unknown",32.52,36,3.48,"Just 22% of Democrats think the Senate should vote to confirm him"
"Unknown",36,39,3,"while an overwhelming 84% of Republicans do."
