Speaker,Start,End,Duration,Text
"SPEAKER_01",0,1.26,1.26,"Welcome to the Chess and in Mr. B."
"SPEAKER_01",1.5,2.52,1.02,"So where are you joining us from?"
"SPEAKER_02",3.54,4.04,0.5,"The Big Apple."
"SPEAKER_02",6.22,7.76,1.54,"I'm sorry he's a little bit wound up."
"SPEAKER_02",7.88,10.16,2.28,"We had to stop at every maple candy stand on the way here."
"SPEAKER_00",10.56,11.94,1.38,"I ate all my gifts for everybody."
"SPEAKER_01",15.08,16.12,1.04,"I'm sorry, Mr. B."
"SPEAKER_01",16.18,18.04,1.86,"There's no record of your reservation in the computer."
"SPEAKER_02",18.52,19.56,1.04,"Well, that's impossible."
"SPEAKER_02",19.86,20.68,0.82,"Can you check again, please?"
"SPEAKER_02",20.82,21.6,0.78,"You can check again, please."
"SPEAKER_01",24,25.36,1.36,"I'm sorry, it's not here."
"SPEAKER_02",27.76,29.02,1.26,"Let me get this straight."
"SPEAKER_02",29.68,31.72,2.04,"I called yesterday to try to cancel my reservation,"
"SPEAKER_02",32,33.58,1.58,"and was told it's not refundable."
"SPEAKER_02",33.88,35.86,1.98,"Then we drove six hours all the way up here,"
"SPEAKER_02",35.96,37.62,1.66,"and now you're telling me that we don't have a reservation?"
"SPEAKER_01",38.18,38.94,0.76,"I don't know what to say."
"SPEAKER_02",39.1,39.78,0.68,"She doesn't know what to say."
"SPEAKER_02",41.5,43.32,1.82,"Just give us the cheapest room you have."
"SPEAKER_01",43.9,45.38,1.48,"Unfortunately, the only thing we have available"
"SPEAKER_01",45.38,47.4,2.02,"is our deluxe suite, the rate of $600."
"SPEAKER_00",48.2,48.92,0.72,"That's insane."
"SPEAKER_00",49.38,50.36,0.98,"It was totally insane."
"SPEAKER_00",50.92,52.02,1.1,"Dude, let's drive home."
"SPEAKER_00",52.12,54.52,2.4,"We'll hit all the maple candy stores on the way back."
"SPEAKER_00",54.52,57.7,3.18,"And if they're closed, then maybe we'll tap a tree"
"SPEAKER_00",57.7,58.5,0.8,"and make some of ourselves."
"SPEAKER_00",61,63.58,2.58,"Does that room have a closet I can lock him in?"
