Speaker,Start (s),End (s),Duration (s),Text
"SPEAKER_00",0,4.18,4.18,"Katrina Pearson has been all over TV saying outrageous things."
"SPEAKER_00",4.56,9.48,4.92,"Now to be fair to her, she's out there as a surrogate for Donald Trump."
"SPEAKER_00",10.02,11.1,1.08,"It's a thankless job."
"SPEAKER_00",11.9,16.1,4.2,"The guy is a giant flip flopper, says one crazy thing after another."
"SPEAKER_00",16.64,19.62,2.98,"So now he flipped flopped on his central issue, immigration."
"SPEAKER_00",20.1,22.46,2.36,"Before they got to go, we're going to kick them out, we're going to build a wall."
"SPEAKER_00",22.56,24.74,2.18,"Now he says they can stay if they pay a little bit of taxes,"
"SPEAKER_00",25.02,29.16,4.14,"which by the way is no different than any of his Republican opponents in the primary."
"SPEAKER_00",29.16,32.26,3.1,"And he lit into them during the privacy."
"SPEAKER_00",32.26,33.62,1.36,"Oh yeah, just pay a little bit of tax."
"SPEAKER_00",33.8,35.04,1.24,"Oh yeah, that's amnesty."
"SPEAKER_00",35.36,36.4,1.04,"Now he's like, no, I'm well, no."
"SPEAKER_00",36.68,39.74,3.06,"It's not amnesty as such, as such, right?"
"SPEAKER_00",40.16,42.28,2.12,"So what the hell is Katrina Pearson going to say about it?"
"SPEAKER_00",42.44,43.6,1.16,"Well, this is funny."
"SPEAKER_01",45.3,47.18,1.88,"He hasn't changed his position on immigration."
"SPEAKER_01",47.36,49.4,2.04,"He's changed the words that he is saying."
"SPEAKER_01",49.78,51.36,1.58,"What he has always said from the beginning,"
"SPEAKER_01",51.36,51.88,0.52,"he has changed."
"SPEAKER_01",51.94,52.76,0.82,"Is that he does not?"
"SPEAKER_01",53.2,55.28,2.08,"That he, no, there's not a different message."
"SPEAKER_01",55.28,57.56,2.28,"He's using different words to give that message."
"SPEAKER_01",57.56,60.74,3.18,"because everyone on the news is saying that he's a bigot."
"SPEAKER_00",63.2,64.32,1.12,"That was funny."
"SPEAKER_00",65.2,67.2,2,"No, no, it's not a different message."
"SPEAKER_00",67.5,68.42,0.92,"It's different words."
"SPEAKER_00",69.28,71.88,2.6,"Now, those different words say the exact opposite"
"SPEAKER_00",71.88,77.7,5.82,"of the earlier words, but still not a different message."
"SPEAKER_00",79.1,80.04,0.94,"Different words."
"SPEAKER_00",80.74,83.6,2.86,"Hey, if you're a Trump supporter, come on."
"SPEAKER_00",83.82,84.68,0.86,"You really believe her?"
"SPEAKER_00",85.74,86.58,0.84,"No, seriously."
"SPEAKER_00",86.58,90.74,4.16,"you look at that guy yeah he nailed it man i mean he was going to kick him out"
"SPEAKER_00",90.74,93.18,2.44,"but he's not anymore but that's because it's just different words"
"SPEAKER_00",94.6,95.46,0.86,"and maybe"
"SPEAKER_00",96.76,100.56,3.8,"maybe you're that shallow and you believe anything he says"
"SPEAKER_00",101.38,104.9,3.52,"but uh... i'm pretty sure that most of you are not buying it"
"SPEAKER_00",104.9,106.6,1.7,"including the trump supporters"
"SPEAKER_00",106.6,110.32,3.72,"i think today are a little to a lot pissed"
"SPEAKER_00",110.32,112.52,2.2,"that he's waffling and flip-flopping"
"SPEAKER_00",113.06,115.02,1.96,"on the biggest issue he had"
"SPEAKER_00",115.02,116.18,1.16,"And you know why?"
"SPEAKER_00",116.36,117.46,1.1,"Because of what she said at the end."
"SPEAKER_00",117.82,119.64,1.82,"Because most people see him as a bigot."
"SPEAKER_00",120.32,122.06,1.74,"So if you want to win an election,"
"SPEAKER_00",122.68,125,2.32,"it helps to have most people on your side,"
"SPEAKER_00",125.16,125.98,0.82,"not against you."
"SPEAKER_00",126.34,128.46,2.12,"So now he's abandoning you guys,"
"SPEAKER_00",128.82,131.52,2.7,"because he thinks you guys look like bigots too."
"SPEAKER_00",132.08,133.5,1.42,"And he's got to win an election."
"SPEAKER_00",133.88,134.74,0.86,"So hey, base."
"SPEAKER_00",135.44,136.14,0.7,"I'll see you later."
"SPEAKER_00",136.64,139.88,3.24,"But bye-bye, doesn't mean I don't like you anymore."
"SPEAKER_00",140.4,141.44,1.04,"It's just different words."
"SPEAKER_01",142.34,144.5,2.16,"To catch our awesome post game shows,"
"SPEAKER_01",144.5,145.86,1.36,"Join and become a member."
"SPEAKER_01",146.16,147.84,1.68,"tytnetwork.com slash join."
