Speaker,Start,End,Duration,Text
"Unknown",0,4,4,"Katrina Pearson has been all over TV saying outrageous things."
"Unknown",4,10,6,"Now to be fair to her, she's out there as a surrogate for Donald Trump."
"Unknown",10,12,2,"It's a thankless job."
"Unknown",12,16,4,"The guy is a giant flip-loper, says one crazy thing after another."
"Unknown",16,20,4,"So now he flip-flopped on his central issue, immigration."
"Unknown",20,23,3,"Before they got to go, we're going to kick them out, we're going to build a wall."
"Unknown",23,26.08,3.08,"And now he says they can stay if they pay a little bit of taxes, which by the way is no"
"Unknown",26.08,42.52,16.44,"different than any of his Republican opponents in the primary. And he lit into them during the private, oh yeah, just pay a little bit of tax, oh yeah, that's amnesty. Now he's like, no, well, it's not amnesty as such, as such, right. So what the hell is Katrina Pearson going to say about it?"
"Unknown",42.52,43.92,1.4,"Well, this is funny."
"Unknown",43.92,44.92,1,"Let's watch."
"Unknown",44.92,47.4,2.48,"He hasn't changed his position on immigration."
"Unknown",45.44,47.36,1.92,"He hasn't changed his position on immigration."
"Unknown",47.36,49.76,2.4,"He's changed the words that he is saying."
"Unknown",49.76,51.88,2.12,"What he has always said from the beginning"
"Unknown",51.88,54.2,2.32,"is that he does not, that he, no."
"Unknown",54.2,55.4,1.2,"There's not a different message."
"Unknown",55.4,57.64,2.24,"He's using different words to give that message."
"Unknown",57.64,60.8,3.16,"Because everyone on the news is saying that he's a bigot."
"Unknown",60.8,69.44,8.64,"that he's a bigot. That was funny. No, no, it's not a different message, it's different words."
"Unknown",69.44,77.28,7.84,"Now those different words say the exact opposite of the earlier words, but still, not a different"
"Unknown",77.28,81.08,3.8,"message, different words."
"Unknown",81.08,84.72,3.64,"Hey, if you're a Trump supporter, come on, you really believe her?"
"Unknown",84.72,105.84,21.12,"You know, seriously, do you look at that and go, yeah, he nailed it, man. I mean, he was going to kick him out, but he's not anymore, but that's because it's just different words. And maybe, maybe you're that shallow and you believe anything he says. But I'm pretty sure that most of you are not buying it, including the"
"Unknown",105.84,110.92,5.08,"Trump supporters, who I think today are a little to a lot pissed, that he's"
"Unknown",110.92,116.48,5.56,"waffling and flip-flopping on the biggest issue he had, and you know why, because"
"Unknown",116.48,121.56,5.08,"of what she said at the end, because most people see him as a bigot. So if you want to win"
"Unknown",121.56,126,4.44,"an election, it helps to have most people on your side, not against you."
"Unknown",126,132,6,"So now he's abandoning you guys because he thinks you guys look like bigots too."
"Unknown",132,136,4,"And he's got to win an election. So hey, base, I'll see you later."
"Unknown",136,142,6,"But bye-bye, doesn't mean I don't like you anymore. It's just different works."
"Unknown",142,146,4,"To catch our awesome post game shows, join and become a member."
