Speaker,Start,End,Duration,Text
"Unknown",0,5,5,"There's this. I have a little news that I'd like to give you as well and it has to do with this program."
"Unknown",5,13,8,"I have been absolutely delighted for the last five years to be working with some of the most talented people in television news."
"Unknown",13,20,7,"Just really stellar, stellar producers, writers, researchers, reporters, just remarkable people here at CNN."
"Unknown",20,25,5,"And so it is really tough to tell you that I'm going to be leaving."
"Unknown",25,26,1,"Kind of."
"Unknown",26,46.52,20.52,"It's sort of weird, but I'm going to leave this time slot at 12 noon, and I'm going to make the jump and follow my friends over at H.L.N. We've already heard that Michaela Pereira has jumped over there, Erica Hills over there, Robin Meade. So I'm going to jump over to prime time on H.L. 8 p.m. in the fall. Super excited to do it. We're going to bring, you know, a really unique"
"Unknown",45.72,50.96,5.24,"know, a really unique brand of social and legal issues oriented programming to that 8 p.m."
"Unknown",50.96,55.92,4.96,"spot. Lots more news and details about it will follow, but I just wanted to let you know what"
"Unknown",55.92,61.76,5.84,"a privilege it's been at 12 noon to be with you every day. And if you will just indulge me for a moment,"
"Unknown",61.76,86,24.24,"you see me all the time, but you don't see Christina or Sanya or Lindsay or Robin or Chris or Scotty or Gus and Alex and Ariel and Lainey and Tanju and Dave, this is my family and every single day, it is a delight to get up at 4.30 in the morning and be with them and I say that honestly. So thank you for being here at 12 noon every day."
"Unknown",86,88,2,"Still going to be here for a few more weeks."
"Unknown",88,90,2,"From the 23rd it'll be our last program here,"
"Unknown",90,94,4,"but I'll be seeing you over on HLLN at 8 p.m."
"Unknown",94,97,3,"Very exciting time for us all here at CNN and HLLN,"
"Unknown",97,101,4,"and I will still be doing a lot of stuff on CNN as well."
"Unknown",101,106.12,5.12,", I'll be bringing legal analysis and I'll be guest representing"
"Unknown",106.12,111.16,5.04,"and talking about the stories of the day, the justice-oriented issues of the day over here"
"Unknown",111.16,114.84,3.68,"on CNN's programming. So I'm not going very far and I'll still be working with all"
"Unknown",114.84,120.28,5.44,"of these extraordinary people on a pretty regular basis. For now, that's it for today."
"Unknown",120.28,121.68,1.4,"I've said enough."
