Speaker,Start,End,Duration,Text
"SPEAKER_00",0,4.32,4.32,"Katrina Pearson has been all over TV saying outrageous things."
"SPEAKER_00",4.32,25.04,20.72,"Now to be fair to her, she's out there as a surrogate for Donald Trump. It's a thankless job. The guy is a giant flip-loper, says one crazy thing after another. So now he flip-flopped on his central issue, immigration. Before they got to go, we're going to kick them out, we're build a wall now he says they can stay if they pay a little bit of taxes"
"SPEAKER_00",25.04,28.84,3.8,"which by the way is no different than any of his republican opponents in the"
"SPEAKER_00",29.72,30.72,1,"and he"
"SPEAKER_00",30.72,33.36,2.64,"lead into them during the private so yeah just pay a little bit of a little bit of"
"SPEAKER_00",33.36,35.32,1.96,"a tax oh yeah that's amnesty"
"SPEAKER_00",35.32,38.2,2.88,"now he's like now well now it's not amnesty"
"SPEAKER_00",38.2,45.4,7.2,"as such as such right so what the what the hell is Katrina Pearson going to say about it? Well, this is funny. Let's watch."
"SPEAKER_01",45.4,47.36,1.96,"He hasn't changed his position on immigration."
"SPEAKER_00",42,47,5,"No, no, it's not a different message, it's different words."
"SPEAKER_01",47,69.44,22.44,"Now those different... that he's a bigot. That was funny. No, no, it's not a different message, it's different words."
"SPEAKER_00",69.44,77.12,7.68,"Now those different words say the exact opposite of the earlier words, but still, not a different"
"SPEAKER_00",77.12,81.08,3.96,"message, different words."
"SPEAKER_00",81.08,83.96,2.88,"Hey, if you're a Trump supporter, come on."
"SPEAKER_00",83.96,126,42.04,"You really believe her? No, seriously. Do you look at and go, yeah, he nailed it, man. I mean, he was going to kick him out, but he's not anymore, but that's because it's just different words. And maybe, maybe you're that shallow and you believe anything he says. But I'm pretty sure that most of you are not buying it, including the Trump supporters, who I think today are a little to a lot pissed, that he's waffling and flip-flopping on the biggest issue he had, and you know why? Because of what she said at the end, because most people see him as a bigot. So if you want to win an election, it helps to have most people on your side, not against you."
"SPEAKER_00",126,132,6,"So now he's abandoning you guys because he thinks you guys look like bigots too."
"SPEAKER_00",132,136,4,"And he's got to win an election. So hey, base, I'll see you later."
"SPEAKER_00",136,142,6,"But bye-bye! Doesn't mean I don't like you anymore. It's just different works."
"SPEAKER_01",142,146,4,"To catch our awesome post game shows, join and become a member."
